deg,P_bar,T_K,pistonVelocity_m_s
-134.0,5.30252954801171,465.9768318218795,-0.24589774152741734
-133.0,5.356450373957844,468.4753192246383,-0.2512474250260357
-132.0,5.411133990608999,470.94645683854117,-0.25658521277751367
-131.0,5.466619963260017,473.39133490873724,-0.26190957113959784
-130.0,5.522948828067059,475.811035125783,-0.26721889032475854
-129.0,5.580162144352169,478.20663100889794,-0.2725114838019311
-128.0,5.638302548910606,480.5791882885449,-0.2777855878217316
-127.0,5.69741381243579,482.9297652882523,-0.28303936107201577
-126.0,5.757540898182288,485.25941330559516,-0.2882708844705598
-125.0,5.818730022993376,487.5691769922501,-0.2934781611015355
-124.0,5.881028720825717,489.8600947330346,-0.2986591163022867
-123.0,5.944485908910509,492.13319902383705,-0.3038115979067114
-122.0,6.00915195669722,494.38951684833756,-0.30893337665131354
-121.0,6.075078757733422,496.6300700534127,-0.3140221467496872
-120.0,6.142319804641894,498.85587572310794,-0.3190755266408697
-119.0,6.210930267364089,501.0679465510503,-0.3240910599166053
-118.0,6.280967074847719,503.2672912111631,-0.32906621643214107
-117.0,6.352489000364745,505.45491472652594,-0.33399839360469413
-116.0,6.425556750655533,507.63181883620854,-0.33888491790321307
-115.0,6.500233059104473,509.79900235988794,-0.34372304653249164
-114.0,6.576582783162315,511.9574615600301,-0.3485099693140852
-113.0,6.654673006241176,514.1081905013991,-0.3532428107658379
-112.0,6.734573144318687,516.252181407618,-0.35791863238114185
-111.0,6.8163550574993765,518.3904250144795,-0.3625344351083339
-110.0,6.900093166792746,520.5239109196633,-0.3670871620298878
-109.0,6.985864576379654,522.6536279284716,-0.37157370124028055
-108.0,7.073749201651016,524.7805643951535,-0.37599088892061633
-107.0,7.163829903315344,526.9057085593284,-0.38033551260727044
-106.0,7.256192627884842,529.0300488769636,-0.3846043146509879
-105.0,7.350926554862712,531.1545743452923,-0.3887939958620286
-104.0,7.448124250967904,533.2802748209887,-0.3929012193361112
-103.0,7.547881831746752,535.4081413308298,-0.3969226144550653
-102.0,7.650299130934503,537.5391663739891,-0.4008547810552736
-101.0,7.755479877942961,539.6743442150025,-0.4046942937561656
-100.0,7.86353188386358,541.8146711663429,-0.40843770644023075
-99.0,7.974567236387864,543.9611458594129,-0.412081556875248
-98.0,8.088702504058965,546.1147695026357,-0.41562237146869263
-97.0,8.206058950279616,548.2765461251769,-0.4190566701435806
-96.0,8.326762757511469,550.447482804666,-0.42238097132435787
-95.0,8.450945262109709,552.6285898771154,-0.4255917970208343
-94.0,8.578743200243574,554.8208811270341,-0.4286856779976092
-93.0,8.71029896535816,557.0253739555245,-0.43165915901594754
-92.0,8.84576087763495,559.2430895239172,-0.4345088041346264
