cycle,cycle_energy_balance_residual_J,cycle_max_delta_K,external_energy_J,gas_energy_J,h_model,liner_material,liner_tdc_end_K,max_temperature_K,min_path_hot_clearance_3um,min_temperature_K,piston_material,piston_skirt_end_K,skirt_liner_tdc_hot_clearance_3um
89,1.3598061887451913,0.40244969147926213,-0.4622427573433906,1.822048946088582,constant_h,steel_4140,339.8172203783083,344.67302578843953,1.1547869717984938,330.95585916694864,al_4032_t6,340.50010744729366,1.4986012251787528
90,1.3533883027843108,0.4011393750114962,-0.46637063042599436,1.8197589332103052,constant_h,steel_4140,340.0905069903679,345.07237070019715,1.1359379897237787,331.2302564136439,al_4032_t6,340.90124682230515,1.4796043940457082
91,1.347004979983344,0.3998294264015385,-0.4704748542419812,1.817479834225325,constant_h,steel_4140,340.36220633407726,345.4704330987699,1.117113050942642,331.50308292966446,al_4032_t6,341.3010762487067,1.4606338666620644
92,1.3406559848795168,0.3985199044926162,-0.4745556039229515,1.8152115888024682,constant_h,steel_4140,340.6323303894315,345.8672131134701,1.0983127608747978,331.77435033392595,al_4032_t6,341.6995961531993,1.441690223941805
93,1.334341084153531,0.39721086772584613,-0.478613052920427,1.812954137073958,constant_h,steel_4140,340.9008910173262,346.2627109284408,1.0795377142924778,332.0440701340069,al_4032_t6,342.09680702092516,1.42277403585922
94,1.328060046601172,0.3959023740765133,-0.48264737302567917,1.8107074196268513,constant_h,steel_4140,341.16789996128347,346.65692678302514,1.060788495387044,332.31225372746144,al_4032_t6,342.49270939500167,1.4038858615776917
95,1.3218126431057318,0.3945944810042761,-0.4866587343892907,1.8084713774950225,constant_h,steel_4140,341.43336884910445,347.04986097198713,1.0420656778338255,332.57891240311034,al_4032_t6,342.88730387600594,1.3850262495740395
96,1.3155986466113945,0.39328724540911253,-0.49064730554028185,1.8062459521516763,constant_h,steel_4140,341.6973091944735,347.4415138456025,1.0233698248622858,332.8440573423057,al_4032_t6,343.28059112141506,1.3661957377690825
97,1.3094178320972711,0.39198072358766467,-0.4946132534049865,1.8040310855022577,constant_h,steel_4140,341.9597323984996,347.83188580963986,1.0047014893421746,333.1076996201782,al_4032_t6,343.6725718450027,1.3473948536537605
98,1.3032699765521818,0.390674971201463,-0.49855674332561467,1.8018267198777964,constant_h,steel_4140,342.2206497512129,348.2209773252346,0.9860612138714586,333.3698502068667,al_4032_t6,344.0632468162042,1.3286241144250255
